Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Onuralp Bitim,24.0,CHI,SG,23.0,1.4,3.7,0.381,0.5,1.9,0.273,0.5,0.8,0.3,1.1,1.4,0.6,0.1,0.1,0.4,3.5
Jordan McLaughlin,27.0,MIN,PG,56.0,1.3,2.6,0.483,0.8,1.6,0.472,0.5,0.722,0.3,1.0,1.3,2.0,0.6,0.1,0.3,3.5
Marques Bolden,25.0,2TM,C,11.0,1.5,2.3,0.68,0.0,0.1,0.0,0.708,0.75,0.9,2.2,3.1,0.4,0.3,0.6,0.3,3.4
Marques Bolden,25.0,MIL,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Marques Bolden,25.0,CHO,C,9.0,1.9,2.8,0.68,0.0,0.1,0.0,0.708,0.75,1.1,2.4,3.6,0.4,0.3,0.8,0.3,4.1
Ryan Rollins,21.0,2TM,PG,13.0,1.1,2.1,0.519,0.2,0.3,0.75,0.478,0.765,0.2,0.8,1.0,1.1,0.8,0.2,0.6,3.4
Ryan Rollins,21.0,WAS,PG,10.0,1.3,2.5,0.52,0.2,0.3,0.667,0.5,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,4.1
Ryan Rollins,21.0,MIL,PG,3.0,0.3,0.7,0.5,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,1.0,0.7,0.0,0.3,1.0
Yuta Watanabe,29.0,2TM,SF,34.0,1.2,3.4,0.353,0.7,2.5,0.294,0.516,0.588,0.3,1.3,1.6,0.4,0.4,0.2,0.6,3.4
Yuta Watanabe,29.0,PHO,SF,29.0,1.2,3.3,0.361,0.8,2.6,0.32,0.5,0.667,0.4,1.2,1.6,0.3,0.3,0.2,0.6,3.6
Yuta Watanabe,29.0,MEM,SF,5.0,1.2,3.8,0.316,0.2,2.0,0.1,0.556,0.0,0.0,1.8,1.8,1.0,0.6,0.0,0.6,2.6
Buddy Boeheim,24.0,DET,SF,10.0,0.9,2.9,0.31,0.8,2.5,0.32,0.25,0.8,0.3,0.7,1.0,0.3,0.0,0.1,0.0,3.4
Moses Brown,24.0,POR,C,22.0,1.5,3.0,0.508,0.0,0.0,0.0,0.508,0.29,1.7,2.2,3.9,0.3,0.2,0.3,0.5,3.4
Wenyen Gabriel,26.0,MEM,PF,5.0,1.6,4.4,0.364,0.2,1.2,0.167,0.438,0.0,1.4,3.6,5.0,0.6,0.4,0.4,1.6,3.4
Nassir Little,23.0,PHO,SF,45.0,1.3,2.8,0.46,0.5,1.6,0.3,0.667,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,3.4
Jalen McDaniels,26.0,TOR,SF,50.0,1.3,3.8,0.344,0.2,1.4,0.169,0.449,0.73,0.4,1.2,1.6,0.7,0.4,0.1,0.6,3.4
Jaden Springer,21.0,2TM,SG,49.0,1.2,3.0,0.399,0.2,1.0,0.208,0.49,0.833,0.7,0.9,1.6,0.9,0.7,0.3,0.7,3.3
Jaden Springer,21.0,PHI,SG,32.0,1.4,3.7,0.39,0.3,1.2,0.216,0.469,0.824,0.8,1.0,1.8,1.1,0.8,0.3,0.8,4.0
Jaden Springer,21.0,BOS,SG,17.0,0.8,1.8,0.433,0.1,0.6,0.182,0.579,0.875,0.5,0.7,1.2,0.5,0.6,0.2,0.5,2.1
Charles Bassey,23.0,SAS,C,19.0,1.5,2.1,0.725,0.0,0.1,0.0,0.744,0.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,3.3
Micah Potter,25.0,UTA,PF,16.0,1.2,2.5,0.475,0.6,1.3,0.429,0.526,0.75,0.6,2.1,2.7,0.4,0.3,0.4,0.3,3.3
Dwight Powell,32.0,DAL,C,63.0,1.1,1.7,0.679,0.0,0.0,0.333,0.689,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,3.3
Terquavion Smith,21.0,PHI,PG,16.0,1.1,2.9,0.391,0.8,2.2,0.371,0.455,0.6,0.0,0.3,0.3,0.8,0.5,0.0,0.4,3.3
Garrett Temple,37.0,TOR,SG,27.0,1.1,2.9,0.372,0.4,1.5,0.3,0.447,0.818,0.7,1.0,1.7,1.0,0.4,0.1,0.5,3.3
Tristan Thompson,32.0,CLE,C,49.0,1.5,2.4,0.608,0.0,0.0,0.0,0.613,0.288,1.5,2.1,3.6,1.0,0.2,0.3,0.6,3.3
Oscar Tshiebwe,24.0,IND,PF,8.0,1.3,2.5,0.5,0.0,0.0,0.0,0.5,0.75,1.0,1.0,2.0,0.3,0.3,0.1,0.0,3.3
Kira Lewis Jr.,22.0,3TM,PG,28.0,1.2,3.3,0.37,0.1,1.2,0.121,0.508,0.85,0.3,0.6,0.9,1.3,0.3,0.1,0.5,3.2
Kira Lewis Jr.,22.0,NOP,PG,15.0,1.1,3.5,0.308,0.1,1.3,0.1,0.438,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,2.9
Kira Lewis Jr.,22.0,TOR,PG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kira Lewis Jr.,22.0,UTA,PG,12.0,1.5,3.3,0.45,0.2,1.1,0.154,0.593,0.778,0.4,0.6,1.0,1.6,0.3,0.1,0.5,3.8
