Player,Team,Pos,Age,G,FG,FGA,3P,3PA,3P%,2P%,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PTS
Kelly Olynyk,"HOU, 2TM, MIA, DET, TOR, UTA","PF, C",30.0,50.0,4.2,8.3,1.3,3.5,0.367,0.615,0.822,1.3,4.7,6.0,3.6,1.0,0.5,2.0,11.8
Kelly Oubre Jr.,"GSW, PHI, CHO",SF,26.0,62.0,6.1,13.9,2.0,6.1,0.323,0.531,0.718,1.3,3.7,5.0,1.2,1.1,0.6,1.2,16.5
Kemba Walker,"BOS, DAL, NYK",PG,31.0,30.0,4.4,10.7,1.9,5.6,0.326,0.505,0.851,0.4,2.5,2.9,3.5,0.7,0.2,1.2,13.0
Kendall Brown,IND,SG,20.0,10.0,0.6,1.1,0.0,0.2,0.0,0.641,0.562,0.2,0.4,0.6,0.4,0.4,0.0,0.2,1.4
Kendrick Nunn,"MIA, LAL, WAS, 2TM","SG, PG",26.0,49.0,3.5,7.8,1.4,3.8,0.363,0.516,0.874,0.2,1.7,2.0,1.6,0.5,0.2,1.0,9.0
Kennedy Chandler,MEM,PG,20.0,36.0,1.0,2.3,0.1,0.4,0.133,0.485,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,2.2
Kenneth Lofton Jr.,"UTA, PHI, 3TM, MEM",PF,21.0,13.0,2.1,4.4,0.4,1.3,0.256,0.5,0.52,0.8,1.5,2.3,1.6,0.3,0.2,0.8,5.4
Kenrich Williams,OKC,"SF, PF",28.0,59.0,2.9,5.8,0.8,2.2,0.388,0.563,0.513,1.4,2.8,4.1,2.0,0.8,0.2,0.8,7.0
Kent Bazemore,"LAL, GSW",SF,32.0,53.0,1.9,4.8,0.9,2.4,0.385,0.378,0.728,0.4,2.2,2.6,1.2,0.8,0.4,0.8,5.3
Kentavious Caldwell-Pope,"DEN, LAL, WAS",SG,28.0,74.0,3.8,8.6,1.8,4.5,0.407,0.49,0.868,0.4,2.4,2.8,2.2,1.2,0.4,1.1,11.0
Keon Ellis,SAC,SG,24.0,36.0,1.2,2.6,0.8,1.8,0.458,0.414,0.657,0.4,1.0,1.4,1.0,0.6,0.3,0.4,3.4
Keon Johnson,"BRK, LAC, POR, 2TM",SG,20.0,24.0,2.1,5.9,0.8,2.3,0.341,0.368,0.795,0.5,1.2,1.8,1.6,0.7,0.3,1.1,6.3
Kessler Edwards,"SAC, BRK, 2TM",SF,22.0,35.0,1.1,2.9,0.5,1.6,0.313,0.47,0.68,0.6,1.3,1.8,0.5,0.4,0.2,0.4,3.1
Kevin Durant,"BRK, PHO, 2TM",PF,34.0,43.0,10.0,18.3,2.2,5.2,0.427,0.59,0.889,0.4,6.4,6.8,5.1,0.7,1.3,3.2,28.1
Kevin Huerter,"ATL, SAC","SF, SG",24.0,70.0,4.7,10.3,2.2,5.8,0.379,0.554,0.77,0.6,2.9,3.4,2.9,0.9,0.4,1.1,12.4
Kevin Knox,"2TM, DET, POR, ATL, NYK","SF, PF",22.0,32.0,1.8,4.4,0.8,2.5,0.323,0.538,0.773,0.5,1.6,2.1,0.5,0.3,0.1,0.5,5.2
Kevin Love,"MIA, CLE, 2TM","PF, C",34.0,46.0,3.2,7.9,1.8,5.2,0.348,0.538,0.846,1.0,5.7,6.6,2.1,0.4,0.2,1.2,9.8
Kevin Pangos,CLE,PG,29.0,24.0,0.6,1.9,0.3,1.1,0.231,0.45,0.75,0.1,0.4,0.5,1.3,0.1,0.0,0.3,1.6
Kevin Porter Jr.,HOU,"SG, PG",21.0,49.0,6.0,14.1,2.3,6.5,0.351,0.491,0.72,0.9,3.6,4.5,6.1,1.1,0.3,3.3,17.1
Kevon Harris,ORL,SG,26.0,18.0,1.2,2.3,0.2,0.6,0.186,0.576,0.378,0.4,1.1,1.6,0.5,0.2,0.0,0.6,3.0
Kevon Looney,GSW,C,26.0,75.0,2.3,3.8,0.0,0.1,0.059,0.595,0.632,2.4,4.4,6.9,2.1,0.5,0.5,0.6,5.4
Keyontae Johnson,OKC,SF,23.0,9.0,0.6,1.8,0.1,0.3,0.333,0.308,0.0,0.4,0.7,1.1,0.4,0.1,0.0,0.4,1.2
Keyonte George,UTA,PG,20.0,75.0,4.3,10.9,2.0,5.9,0.334,0.459,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,13.0
Khem Birch,"TOR, 2TM, ORL",C,29.0,42.0,2.5,4.9,0.2,0.6,0.246,0.55,0.726,2.1,2.7,4.8,1.1,0.6,0.7,0.6,6.2
Khris Middleton,MIL,SF,30.0,56.0,6.4,13.8,2.0,5.4,0.371,0.52,0.881,0.7,4.3,5.1,5.2,1.0,0.2,2.5,17.7
Khyri Thomas,HOU,SG,24.0,5.0,6.4,13.2,1.8,5.4,0.333,0.59,1.0,1.4,2.2,3.6,5.0,1.8,1.2,1.2,16.4
Killian Hayes,DET,PG,20.0,52.0,3.0,8.0,0.8,2.7,0.28,0.433,0.769,0.4,2.5,2.9,5.2,1.1,0.4,2.1,7.7
